(b'love', 418)
(b's', 415)
(b'ready', 412)
(b'la', 409)
(b'a', 409)
(b'center', 408)
(b'grand', 406)
(b'facilities', 406)
(b'concierge', 405)
(b'fun', 404)
(b'space', 403)
(b'hour', 400)
(b'start', 399)
(b'noisy', 396)
(b'bath', 396)
(b'getting', 395)
(b'guests', 393)
(b'town', 389)
(b'block', 388)
(b'let', 387)
(b'it', 386)
(b'evening', 385)
(b'bathrooms', 384)
(b'does', 383)
(b'london', 382)
(b'look', 382)
(b'luggage', 381)
(b'stop', 379)
(b'drinks', 378)
(b'kept', 377)
(b'superb', 377)
(b'ask', 369)
(b'downtown', 364)
(b'warm', 363)
(b'decent', 362)
(b'called', 361)
(b'march', 360)
(b'impressed', 358)
(b'actually', 357)
(b'break', 354)
(b'sleep', 354)
(b'april', 354)
(b'corner', 353)
(b'wait', 352)
(b'suites', 351)
(b'including', 351)
(b'blocks', 350)
(b'w', 349)
(b'seattle', 348)
(b'wedding', 347)
(b'bedroom', 347)
(b'real', 347)
(b'world', 347)
(b'plus', 345)
(b'towels', 345)
(b'taxi', 344)
(b'areas', 344)
(b'expectations', 342)
(b'major', 340)
(b'tripadvisor', 339)
(b'windows', 338)
(b'based', 338)
(b'lounge', 337)
(b'hilton', 337)
(b'yes', 336)
(b'pleased', 334)
(b'palace', 334)
(b'daughter', 333)
(b'june', 332)
(b'reservation', 330)
(b'style', 328)
(b'york', 325)
(b'children', 325)
(b'relaxing', 325)
(b'dinner', 323)
(b'awesome', 321)
(b'weeks', 318)
(b'plaza', 318)
(b'c', 318)
(b'walked', 317)
(b'window', 317)
(b'negative', 316)
(b'mins', 315)
(b'super', 315)
(b'busy', 315)
(b'recommended', 313)
(b'july', 313)
(b'efficient', 312)
(b'shops', 311)
(b'group', 311)
(b'tiny', 308)
(b'road', 308)
(b'cheap', 308)
(b'surprised', 306)
(b'friend', 305)
(b'juan', 304)
(b'quick', 304)
(b'cruise', 304)
(b'welcome', 304)
(b'bars', 304)
(b'nicely', 304)
(b'reservations', 302)
(b'person', 302)
(b'bavaro', 301)
(b'reasonable', 301)
(b'upgrade', 300)
(b'previous', 300)
(b'e', 300)
(b'tower', 300)
(b'single', 300)
(b'amenities', 298)
(b'appointed', 298)
(b'attractions', 297)
(b'liked', 297)
(b'fact', 297)
(b'tourist', 296)
(b'french', 296)
(b'offered', 293)
(b'ride', 292)
(b'probably', 292)
(b'line', 291)
(b'shuttle', 288)
(b'overlooking', 287)
(b'advisor', 286)
(b'fresh', 286)
(b'dirty', 286)
(b'basic', 284)
(b'needs', 284)
(b'provided', 283)
(b'nearby', 281)
(b'ramblas', 280)
(b'worst', 280)
(b'wine', 279)
(b'luxury', 279)
(b'gorgeous', 278)
(b'non', 278)
(b'cool', 277)
(b'birthday', 277)
(b'drink', 277)
(b'am', 276)
(b'run', 275)
(b'boyfriend', 274)
(b'westin', 272)
(b'harbour', 272)
(b'euros', 272)
(b'house', 271)
(b'comfy', 270)
(b'poor', 270)
(b'francisco', 270)
(b'market', 269)
(b'spa', 269)
(b'seen', 269)
(b'kind', 269)
(b'enjoy', 268)
(b'level', 268)
(b'cold', 267)
(b'mini', 267)
(b'light', 266)
(b'charming', 266)
(b'spend', 266)
(b'sydney', 266)
(b'nyc', 266)
(b'visited', 265)
(b'boutique', 263)
(b'standards', 262)
(b'certainly', 261)
(b'leave', 261)
(b'august', 261)
(b'hear', 260)
(b'terrible', 260)
(b'bali', 259)
(b'deluxe', 257)
(b'true', 257)
(b'b', 256)
(b'greeted', 256)
(b'resorts', 256)
(b'tour', 255)
(b'riu', 253)
(b'directly', 252)
(b'anniversary', 251)
(b'inclusive', 251)
(b'rd', 251)
(b'believe', 251)
(b'requested', 250)
(b'ideal', 250)
(b'charge', 249)
(b'adequate', 249)
(b'heart', 248)
(b'spotless', 248)
(b'outstanding', 247)
(b'met', 247)
(b'garden', 246)
(b'polite', 246)
(b't', 246)
(b'cost', 245)
(b'past', 245)
(b'rude', 244)
(b'subway', 244)
(b'weather', 244)
(b'middle', 243)
(b'tea', 242)
(b'rest', 240)
(b'berlin', 239)
(b'attentive', 239)
(b'change', 239)
(b'welcoming', 239)
(b'local', 238)
(b'set', 238)
(b'gem', 238)
(b'ago', 238)
(b'public', 237)
(b'well', 237)
(b'smoking', 237)
(b'received', 236)
(b'european', 236)
(b'making', 236)
(b'tried', 236)
(b'priced', 235)
(b'm', 235)
(b'moment', 235)
(b'positive', 234)
(b'conditioning', 234)
(b'canal', 232)
(b'manager', 232)
(b'situated', 231)
(b'number', 231)
(b'class', 230)
(b'courtyard', 230)
(b'min', 229)
(b'budget', 229)
(b'son', 229)
(b'half', 229)
(b'sized', 229)
(b'bags', 229)
(b'speak', 228)
(b'courteous', 228)
(b'pools', 228)
(b'professional', 227)
(b'complimentary', 226)
(b'nd', 225)
(b'working', 225)
(b'paradise', 224)
(b'marriott', 224)
(b'okay', 224)
(b'royal', 223)
(b'taken', 223)
(b'guest', 223)
(b'worked', 222)
(b'ritz', 221)
(b'checking', 221)
(b'europe', 221)
(b'all', 220)
(b'waikiki', 220)
(b'walls', 220)
(b'boston', 219)
(b'twice', 216)
(b'truly', 216)
(b'princess', 216)
(b'agree', 215)
(b'wall', 215)
(b'spoke', 215)
(b'prices', 214)
(b'entire', 214)
(b'october', 213)
(b'singapore', 213)
(b'district', 213)
(b'cleaned', 213)
(b'saw', 212)
(b'maintained', 212)
(b'prior', 210)
(b'knew', 210)
(b'tub', 210)
(b'executive', 209)
(b'customer', 208)
(b'superior', 208)
(b'package', 208)
(b'horrible', 207)
(b'floors', 207)
(b'union', 207)
(b'traveled', 206)
(b'later', 206)
(b'island', 206)
(b'atmosphere', 206)
(b'care', 204)
(b'orleans', 203)
(b'mid', 203)
(b'mind', 202)
(b'dark', 202)
(b'renovated', 202)
(b'stars', 202)
(b'elevator', 202)
(b'smell', 202)
(b'majestic', 202)
(b'coming', 201)
(b'excellence', 201)
(b'september', 201)
(b'tram', 200)
(b'offer', 200)
(b'surprise', 200)
(b'complaints', 200)
(b'pillows', 200)
(b'ate', 200)
(b'dominican', 198)
(b'simply', 198)
(b'tell', 198)
(b'request', 198)
(b'hong', 197)
(b'wrong', 197)
(b'beautifully', 197)
(b'quarter', 196)
(b'sights', 196)
(b'fridge', 196)
(b'pleasantly', 196)
(b'toilet', 196)
(b'fruit', 196)
(b'separate', 196)
(b'choose', 196)
(b'sites', 195)
(b'private', 195)
(b'easily', 195)
(b'point', 194)
(b'terrific', 194)
(b'continental', 194)
(b'caribe', 193)
(b'maybe', 193)
(b'kong', 192)
(b'points', 192)
(b'perfectly', 192)
(b'queen', 191)
(b'facing', 191)
(b'kitchen', 191)
(b'party', 190)
(b'january', 190)
(b'touch', 190)
(b'luxurious', 189)
(b'design', 189)
(b'heard', 189)
(b'stylish', 189)
(b'moved', 189)
(b'beat', 188)
(b'comments', 188)
(b'card', 188)
(b'fairly', 188)
(b'furnished', 188)
(b'brilliant', 187)
(b'november', 186)
(b'relax', 186)
(b'fault', 186)
(b'melia', 186)
(b'there', 184)
(b'particularly', 183)
(b'young', 183)
(b'twin', 183)
(b'las', 182)
(b'exactly', 182)
(b'conference', 182)
(b'spot', 182)
(b'wish', 181)
(b'larger', 181)
(b'tokyo', 180)
(b'flat', 180)
(b'turned', 180)
(b'key', 179)
(b'looks', 179)
(b'travelling', 179)
(b'madrid', 178)
(b'simple', 177)
(b'enjoyable', 177)
(b'housekeeping', 177)
(b'dining', 177)
(b'villa', 176)
(b'white', 176)
(b'construction', 176)
(b'immediately', 176)
(b'spectacular', 176)
(b'u', 175)
(b'our', 175)
(b'p', 174)
(b'tropical', 174)
(b'low', 174)
(b'soon', 174)
(b'on', 174)
(b'changed', 173)
(b'complaint', 173)
(b'compared', 173)
(b'mentioned', 173)
(b'helped', 173)
(b'glass', 173)
(b'wow', 173)
(b'course', 172)
(b'traveling', 172)
(b'month', 172)
(b'christmas', 172)
(b'waiting', 171)
(b'incredible', 170)
(b'd', 170)
(b'tired', 170)
(b'phone', 170)
(b'exceptional', 170)
(b'didnt', 170)
(b'makes', 169)
(b'agent', 169)
(b'doors', 169)
(b'blue', 169)
(b'entertainment', 169)
(b'neighborhood', 169)
(b'definately', 169)
(b'dont', 169)
(b'selection', 169)
(b'r', 168)
(b'taking', 168)
(b'glad', 168)
(b'furniture', 168)
(b'served', 168)
(b'daily', 167)
(b'italy', 167)
(b'inside', 166)
(b'entrance', 166)
(b'afternoon', 166)
(b'life', 166)
(b'quickly', 166)
(b'terrace', 165)
(b'feb', 165)
(b'adults', 165)
(b'despite', 165)
(b'screen', 164)
(b'live', 164)
(b'centrally', 163)
(b'american', 163)
(b'worried', 163)
(b'valet', 163)
(b'rates', 163)
(b'duomo', 163)
(b'river', 162)
(b'december', 162)
(b'pricey', 161)
(b'equipped', 161)
(b'instead', 161)
(b'stairs', 160)
(b'girlfriend', 160)
(b'visiting', 160)
(b'write', 159)
(b'chairs', 159)
(b'this', 159)
(b'com', 159)
(b'unfortunately', 159)
(b'bring', 159)
(b'secrets', 158)
(b'spanish', 158)
(b'arriving', 158)
(b'experienced', 158)
(b'living', 157)
(b'ended', 157)
(b'disappointing', 157)
(b'slightly', 157)
(b'travelled', 157)
(b'variety', 157)
(b'arrive', 156)
(b'saying', 156)
(b'reasonably', 156)
(b'sheets', 156)
(b'completely', 156)
(b'n', 156)
(b'usually', 155)
(b'none', 155)
(b'smaller', 155)
(b'lunch', 155)
(b'cab', 154)
(b'opened', 154)
(b'euro', 154)
(b'country', 154)
(b'bridge', 153)
(b'sun', 152)
(b'puerto', 152)
(b'awful', 152)
(b'sitting', 151)
(b'seeing', 151)
(b'stops', 150)
(b'turn', 150)
(b'base', 150)
(b'cafe', 150)
(b'using', 150)
(b'expecting', 149)
(b'favorite', 149)
(b'online', 149)
(b'recent', 149)
(b'loud', 149)
(b'h', 148)
(b'activities', 148)
(b'reviewers', 148)
(b'directions', 147)
(b'rating', 147)
(b'dated', 146)
(b'steps', 146)
(b'management', 145)
(b'treated', 145)
(b'junior', 145)
(b'avoid', 145)
(b'nicer', 144)
(b'table', 144)
(b'couples', 144)
(b'reason', 144)
(b'accomodating', 144)
(b'cable', 144)
(b'el', 143)
(b'apartment', 143)
(b'understand', 141)
(b'complain', 141)
(b'totally', 141)
(b'treat', 141)
(b'marble', 141)
(b'possible', 140)
(b'out', 140)
(b'music', 140)
(b'sister', 140)
(b'mixed', 139)
(b'overpriced', 139)
(b'longer', 139)
(b'leaving', 139)
(b'traffic', 138)
(b'lift', 138)
(b'trying', 138)
(b'member', 137)
(b'months', 137)
(b'alot', 137)
(b'delicious', 137)
(b'stunning', 137)
(b'thoroughly', 136)
(b'trouble', 136)
(b'generally', 136)
(b'iberostar', 136)
(b'immaculate', 136)
(b'carpet', 135)
(b'pick', 135)
(b'smile', 135)
(b'sofitel', 135)
(b'older', 135)
(b'gym', 135)
(b'closet', 134)
(b'picked', 134)
(b'somewhat', 134)
(b'type', 133)
(b'offers', 133)
(b'thanks', 133)
(b'literally', 133)
(b'hyatt', 133)
(b'roof', 132)
(b'slept', 132)
(b'order', 132)
